dick-straw,0
dareon,0
tallad,0
watt,0
cressen,0
senelle,0
alleras,0
hugh-hungerford,0
wynton-stout,0
raynard,0
patchface,0
draqaz,0
dryn,0
tarber,0
pypar,0
orton-merryweather,0
moon-boy,0
owen,0
cutjack,0
frenya,0
kurz,0
mark-mullendore,0
holly,0
mance-rayder,0
fulk,0
maggy,0
jeor-mormont,0
dalbridge,0
maegor-i-targaryen,0
ebben,0
garth-greyfeather,0
hobb,0
ragwyle,0
hairy-hal,0
jocelyn-swyft,0
grenn,0
lothor-brune,0
high-septon-(tyrions),0
eddison-tollett,0
raymun-redbeard,0
gerrick-kingsblood,0
harys-swyft,0
donal-noye,0
obara-sand,0
denys-mallister,0
garth-tyrell,0
haggon,0
nymeria-sand,0
garlan-tyrell,0
harl,0
cotter-pyke,0
tyene-sand,0
harwood-stout,0
drennan,0
alliser-thorne,0
falyse-stokeworth,0
squint,0
hoster-blackwood,0
squirrel,0
maekar-i-targaryen,0
hother-umber,0
chett,0
sawane-botley,0
rowan,0
quellon-greyjoy,0
bowen-marsh,0
paxter-redwyne,0
kerwin,0
trystane-martell,0
nute,0
qhorin-halfhand,0
longwater-pyke,0
rast,0
humfrey-hewett,0
sylva-santagar,0
luton,0
yohn-royce,0
halder,0
lyanna-mormont,0
hotho-harlaw,0
wick-whittlestick,0
farlen,0
podrick-payne,0
malaquo-maegyr,0
morgo,0
symond-templeton,0
tormund,0
florian-the-fool,0
jonquil,0
satin,0
old-bill-bone,0
willem-lannister,0
leonette-fossoway,0
roose-ryswell,0
tristifer-iv-mudd,0
othell-yarwyck,0
hake,0
cellador,0
scar,0
rolph-spicer,0
rollam-westerling,0
small-paul,0
hallyne,0
shrouded-lord,0
robin-flint,0
thistle,0
lark,0
halys-hornwood,0
timeon,0
horas-redwyne,0
mully,0
gerold-dayne,0
hobber-redwyne,0
thoren-smallwood,0
arys-oakheart,0
jarman-buckwell,0
ottyn-wythers,0
garin-(orphan),0
jon-fossoway,0
yoren,0
